Time [s],Dn,Dp,out_en
0.283470310,0,1,0
0.283470400,1,0,0
0.283470480,0,1,0
0.283470560,1,0,0
0.283470650,0,1,0
0.283471230,1,0,0
0.283471400,0,1,0
0.283471570,1,0,0
0.283471730,0,0,0
0.283471900,0,1,0
0.283473070,1,0,0
0.283473150,0,1,0
0.283473230,1,0,0
0.283473310,0,1,0
0.283473400,1,0,0
0.283473480,0,1,0
0.283473560,1,0,0
0.283473810,0,1,0
0.283473900,1,0,0
0.283474060,0,1,0
0.283474310,0,0,0
0.283474320,1,0,0
0.283474400,0,1,0
0.283474560,0,0,0
0.283474570,1,0,0
0.283474650,0,1,0
0.283474730,1,0,0
0.283474810,0,1,0
0.283474900,1,0,0
0.283474980,0,1,0
0.283475150,1,0,0
0.283475230,0,1,0
0.283475310,1,0,0
0.283475400,0,1,0
0.283475480,1,0,0
0.283475560,0,1,0
0.283475730,0,0,0
0.283475900,0,1,0
0.284468980,1,0,0
0.284469060,0,1,0
0.284469140,0,0,0
0.284469150,1,0,0
0.284469230,0,1,0
0.284469310,1,0,0
0.284469390,0,1,0
0.284469480,1,0,0
0.284469730,0,1,0
0.284469890,0,0,0
0.284469900,1,0,0
0.284469980,0,1,0
0.284470150,1,0,0
0.284470390,0,0,0
0.284470400,0,1,0
0.284470480,1,0,0
0.284470560,0,1,0
0.284470640,0,0,0
0.284470650,1,0,0
0.284471230,0,1,0
0.284471310,1,0,0
0.284471480,0,1,0
0.284471640,0,0,0
0.284471650,1,0,0
0.284471730,0,0,0
0.284471900,0,1,0
0.285468980,1,0,0
0.285469060,0,1,0
0.285469140,1,0,0
0.285469220,0,1,0
0.285469310,1,0,0
0.285469390,0,1,0
0.285469480,1,0,0
0.285469730,0,1,0
0.285469890,1,0,0
0.285469970,0,1,0
0.285470140,1,0,0
0.285470310,0,1,0
0.285470480,1,0,0
0.285470560,0,1,0
0.285470640,1,0,0
0.285471230,0,1,0
0.285471310,1,0,0
0.285471480,0,1,0
0.285471560,1,0,0
0.285471640,0,1,0
0.285471730,0,0,0
0.285471890,0,1,0
0.286468970,1,0,0
0.286469050,1,1,0
0.286469060,0,1,0
0.286469140,1,0,0
0.286469220,0,1,0
0.286469310,1,0,0
0.286469390,0,1,0
0.286469470,1,0,0
0.286469720,0,1,0
0.286469890,1,0,0
0.286469970,0,1,0
0.286470140,1,0,0
0.286470470,0,1,0
0.286470560,1,0,0
0.286470640,0,1,0
0.286471220,1,0,0
0.286471390,0,1,0
0.286471720,0,0,0
0.286471890,0,1,0
0.287468970,1,0,0
0.287469050,0,1,0
0.287469140,1,0,0
